manifold,repeat,n,n_scaffold,n_contraction,sigma,scaffold_hausdorff,average_hausdorff,gp_hausdorff,gp_better_than_average,scaffold_directed_error,average_directed_error,gp_directed_error,mean_direction_signal,min_direction_signal,median_cylinder_size,min_cylinder_size,ball_fallback_count,ball_fallback_fraction,cylinder_fallback_count,cylinder_fallback_fraction,mean_posterior_sd,mean_frequentist_sd,mean_posterior_to_frequentist_sd,max_posterior_to_frequentist_sd,posterior_band_covers_truth,frequentist_band_covers_truth,posterior_max_halfwidth,posterior_max_width_over_noise,posterior_width_below_noise,posterior_band_inside_noise,max_posterior_boundary_distance,mean_average_local_error,mean_gp_local_error,high_curvature_average_error,high_curvature_gp_error,high_curvature_gp_improvement,scaffold_center_x,scaffold_center_y,scaffold_min_radius,scaffold_max_radius
circle,0,3000,1500,1500,0.06,0.008096705372229557,0.02284043919490008,0.020661553707466737,1,0.008096705372229557,0.02280677633320354,0.020661553707466737,0.05568971935469761,0.0395604405476917,46.0,31,0,0.0,0,0.0,0.012399670185863472,0.01117229332996769,1.1090897875126882,1.160701132900465,1,1,0.04965166227027418,0.4222080125023315,1,1,0.06514680385910362,0.007676190200893876,0.008388795226228382,0.007966612456435245,0.008650225182164102,-0.0006836127257288569,0.010581650105412227,-0.002287033328757593,0.9837137919872562,1.0151232554349972
circle,1,3000,1500,1500,0.06,0.015599604928840138,0.028930782279517203,0.03483598742819572,0,0.015599604928840138,0.028930782279517203,0.03483598742819572,0.0601727315291029,0.048458230107492235,47.0,32,0,0.0,0,0.0,0.012367957687901244,0.0110934916367681,1.1139521546466236,1.1775166173347433,1,1,0.04988280800561443,0.4241735374627078,1,1,0.0794093207376113,0.010144817535745197,0.011516977516910835,0.010256587274226282,0.0118022895486476,-0.0015457022744213165,-0.032675948837263866,0.025549484717138245,0.9622804782608039,1.0422045554453208
circle,2,3000,1500,1500,0.06,0.013008853518216058,0.035479153565452275,0.05132599831162154,0,0.013008853518216058,0.035479153565452275,0.05132599831162154,0.05923171706884464,0.0465137934782226,47.0,26,0,0.0,0,0.0,0.012382188564849846,0.011142404916941163,1.1104763002115916,1.1599321533915457,0,0,0.049118921416620706,0.41767790320255704,1,1,0.08993350656386603,0.008924806343546797,0.011337008605516617,0.009004585639863023,0.011430593356251925,-0.002426007716388904,-0.003972705301905868,-0.012060095568745061,0.9926295891749347,1.020377953837397
circle,3,3000,1500,1500,0.06,0.013129555833620634,0.02791389841201536,0.02582642113666418,1,0.013129555833620634,0.02791389841201536,0.02582642113666418,0.05692757000365768,0.03870213093721369,47.0,32,0,0.0,0,0.0,0.012438830239253953,0.0111784590206779,1.11196088861901,1.1703687955884652,1,1,0.04999537371319459,0.4251307288536955,1,1,0.06692082637276514,0.007651512302748395,0.007659421806835849,0.007576721982709806,0.0076494767096623876,-7.275472695258214e-05,0.005079958902491193,0.02446091347152507,0.9763986409013227,1.0332849371523736
circle,4,3000,1500,1500,0.06,0.008174061885976905,0.03173517204898825,0.026272172066692842,1,0.008174061885976905,0.03173517204898825,0.026272172066692842,0.05709050036134236,0.040138852847683905,47.0,35,0,0.0,0,0.0,0.01239493433913819,0.011144346531004257,1.1110749800339006,1.1736807578909034,1,1,0.05180105749841242,0.44048518280962945,1,1,0.06827228311367946,0.00822420735720934,0.008868198555864015,0.008487467071441454,0.009141857677941363,-0.0006543906064999079,-0.0012358864837396814,-0.023262374240479687,0.9736952259578143,1.023404717858621
circle,5,3000,1500,1500,0.06,0.01774758139653148,0.027837752257073974,0.033568120828408994,0,0.01774758139653148,0.027837752257073974,0.033568120828408994,0.06080422069764208,0.04551534808228847,46.0,29,0,0.0,0,0.0,0.012274357700383997,0.011084847555084595,1.1064644716787932,1.1497455887047123,1,1,0.049931317973752304,0.4245860371917713,1,1,0.07751798666517146,0.00782262232661432,0.009290767203235214,0.007643706108122393,0.009040843558850964,-0.0013971374507285716,-0.008202135378365068,0.04023752984342132,0.9566591387788584,1.0495084208578285
circle,6,3000,1500,1500,0.06,0.014921914278572862,0.026378585338148394,0.031131229005786982,0,0.014921914278572862,0.026378585338148394,0.031131229005786982,0.06086677963365848,0.03724940497094595,47.0,32,0,0.0,0,0.0,0.012323509825237314,0.011111161602364241,1.1084821379064111,1.1508048458143099,1,1,0.04899880020804582,0.4166564643541311,1,1,0.07343708812011465,0.010567026355749767,0.012066793922100775,0.010441174872800359,0.011990766701971306,-0.0015495918291709464,0.019291975983077393,-0.013720088654960733,0.9751017921079631,1.0254330123504858
circle,7,3000,1500,1500,0.06,0.009253693686500045,0.02452980552367352,0.038695121789255514,0,0.009253693686500045,0.02452980552367352,0.038695121789255514,0.05685747196106047,0.037867605870052876,46.0,33,0,0.0,0,0.0,0.012384662223160791,0.011139393209589139,1.110948944329799,1.164537782233563,1,1,0.04865160213168737,0.4137040997592464,1,1,0.08215475557069546,0.008236176017445064,0.010034748299450573,0.008199198457902042,0.009903045103736156,-0.0017038466458341138,-0.022337197358084822,0.02334981739945934,0.9633670696158503,1.0390440374074645
circle,8,3000,1500,1500,0.06,0.013175568432503454,0.028634468530549764,0.0323004093619435,0,0.013175568432503454,0.028634468530549764,0.0323004093619435,0.05568126566256163,0.04377996834783966,49.0,30,0,0.0,0,0.0,0.012368515846806455,0.011139312958715996,1.1093485629736615,1.1740583757556022,1,1,0.051638786915459534,0.4391053309137716,1,1,0.07424232999693714,0.007941988205464896,0.008598128646558179,0.008104730470986761,0.00862841345459328,-0.000523682983606516,0.024444222452871797,-0.013167860716226328,0.959347141435245,1.0299356052753073
circle,9,3000,1500,1500,0.06,0.012422347981186441,0.024841742071211422,0.025295810765511913,0,0.012422347981186441,0.024841742071211422,0.025295810765511913,0.05778013287975725,0.04480602237026502,48.0,30,0,0.0,0,0.0,0.01239051449123435,0.011124317328217705,1.1129389725360994,1.1575658052189952,1,1,0.05037863889568878,0.42838978652796583,1,1,0.06902902228628614,0.007009097135612439,0.007509037985494919,0.006954276343938431,0.007322266237721577,-0.0003679898937831457,0.011293480432285157,0.009375239112761589,0.9825703847372468,1.0191954024901801
