manifold,mc_reps,mean_average_hausdorff,mean_gp_hausdorff,median_average_hausdorff,median_gp_hausdorff,fraction_gp_better,posterior_band_coverage,frequentist_band_coverage,posterior_band_inside_noise_fraction,mean_posterior_to_frequentist_sd,max_posterior_to_frequentist_sd,mean_median_cylinder_size,minimum_cylinder_size,mean_ball_fallback_fraction,mean_cylinder_fallback_fraction,mean_high_curvature_gp_improvement,mean_gp_amplitude,mean_gp_rho,mean_gp_noise_sd,eb_success_fraction,eb_at_bound_fraction
circle,20,0.02651554655511912,0.02473105269775151,0.027620005644368024,0.023797008607123225,0.8,0.95,0.95,1.0,1.0201581396560613,1.0619436027013336,46.8,26,0.0,0.0,0.0004682339978391896,0.004933144090726357,0.2778622557432187,0.06149708007195161,1.0,0.0
ellipse,20,0.03027280416472642,0.028294257708553233,0.029091768394299375,0.027187179132787048,0.9,0.85,0.85,1.0,1.0237791983870381,1.0763433721812596,41.875,24,0.0,0.0,0.001034934177012651,0.00571519620572008,0.22912146399882855,0.06201118281059139,1.0,0.0
