manifold,repeat,n,n_scaffold,n_contraction,sigma,gp_method,gp_amplitude,gp_rho,gp_length_scale_equivalent,gp_noise_sd,eb_success,eb_status,eb_iterations,eb_objective,eb_message,eb_at_bound,scaffold_hausdorff,average_hausdorff,gp_hausdorff,gp_better_than_average,scaffold_directed_error,average_directed_error,gp_directed_error,mean_direction_signal,min_direction_signal,median_cylinder_size,min_cylinder_size,ball_fallback_count,ball_fallback_fraction,cylinder_fallback_count,cylinder_fallback_fraction,mean_posterior_sd,mean_frequentist_sd,mean_posterior_to_frequentist_sd,max_posterior_to_frequentist_sd,posterior_band_covers_truth,frequentist_band_covers_truth,posterior_max_halfwidth,posterior_max_width_over_noise,posterior_width_below_noise,posterior_band_inside_noise,max_posterior_boundary_distance,mean_average_local_error,mean_gp_local_error,high_curvature_average_error,high_curvature_gp_error,high_curvature_gp_improvement,scaffold_center_x,scaffold_center_y,scaffold_min_radius,scaffold_max_radius
circle,0,3000,1500,1500,0.06,paper-eb,0.004575533232537525,0.3474811194754313,0.41682197607337795,0.06200485829064981,True,0,15,-6243.647468993628,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.008096705372229557,0.02284043919490008,0.02228504428871138,1,0.008096705372229557,0.02280677633320353,0.022259239980005452,0.05568971935469764,0.0395604405476917,46.0,31,0,0.0,0,0.0,0.00924679499821035,0.00909729991996295,1.0163626636417056,1.0362334124895745,1,1,0.037143200826097754,0.31584354443960677,1,1,0.05376474829733018,0.0076761902008938765,0.007134262249030703,0.007966612456435245,0.007383717720116362,0.0005828947363188831,0.010581650105412227,-0.002287033328757593,0.9837137919872562,1.0151232554349974
circle,1,3000,1500,1500,0.06,paper-eb,0.005729872141501924,0.2220155543035159,0.33317829633959944,0.06418178610594576,True,0,12,-6251.16241312019,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.015599604928840218,0.028930782279517207,0.027720236693336522,1,0.015599604928840218,0.028930782279517207,0.027720236693336522,0.06017273152910294,0.048458230107492235,47.0,32,0,0.0,0,0.0,0.009624242957567253,0.00942352038164226,1.0213311943564434,1.0360116012230356,1,1,0.038629722189369095,0.3284840322225263,1,1,0.06163820803329289,0.010144817535745192,0.009523523616031548,0.010256587274226278,0.009613810157338167,0.0006427771168881115,-0.032675948837263866,0.025549484717138245,0.9622804782608042,1.0422045554453208
circle,2,3000,1500,1500,0.06,paper-eb,0.0052098613839997,0.17207660200088953,0.2933228613668644,0.061150858529245074,True,0,13,-6177.730196985932,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.013008853518216276,0.03547915356545228,0.03883657900259769,0,0.013008853518216276,0.03547915356545228,0.03883657900259769,0.059231717068844655,0.04651379347822259,47.0,26,0,0.0,0,0.0,0.009404832846035582,0.009153106018309442,1.02748930123243,1.0556238163193137,0,0,0.040400255227743584,0.34353958526992845,1,1,0.06841285190994771,0.008924806343546803,0.008605053311699112,0.009004585639863028,0.008561690762456668,0.00044289487740635893,-0.003972705301905868,-0.012060095568745061,0.9926295891749346,1.020377953837397
circle,3,3000,1500,1500,0.06,paper-eb,0.0046400426901025615,0.24935509328836,0.3530970782152976,0.06147274099886747,True,0,14,-6275.366263740644,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.0131295558336207,0.027913898412015352,0.026497818949682922,1,0.0131295558336207,0.027913898412015352,0.026497818949682922,0.05692757000365775,0.03870213093721344,47.0,32,0,0.0,0,0.0,0.009250206821243842,0.009059031771223728,1.0209445606493974,1.0619436027013336,1,1,0.03668598726983865,0.3119556740632538,1,1,0.05967022313666279,0.0076515123027483985,0.00706307324178452,0.00757672198270981,0.0070023137103946064,0.0005744082723152028,0.005079958902491193,0.02446091347152507,0.9763986409013228,1.0332849371523738
circle,4,3000,1500,1500,0.06,paper-eb,0.004735607827389714,0.36070526507393547,0.4246794468030773,0.06074183377281116,True,0,14,-6268.66765807211,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.008174061885977002,0.03173517204898825,0.027158718440363674,1,0.008174061885977002,0.03173517204898825,0.027158718440363674,0.05709050036134242,0.04013885284768407,47.0,35,0,0.0,0,0.0,0.009045123206234872,0.008903674057509994,1.015786648011089,1.044198788433746,1,1,0.03459179333668703,0.2941479025228489,1,1,0.056878160216643374,0.008224207357209332,0.007507476948160439,0.008487467071441447,0.007704544431767331,0.0007829226396741156,-0.0012358864837396814,-0.023262374240479687,0.9736952259578143,1.0234047178586207
circle,5,3000,1500,1500,0.06,paper-eb,0.005315867407512071,0.21543005117358535,0.32819967334961303,0.06145618106887105,True,0,11,-6269.523222535589,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.017747581396531327,0.027837752257073974,0.02749540880891458,1,0.017747581396531327,0.027837752257073974,0.02749540880891458,0.06080422069764211,0.04551534808228827,46.0,29,0,0.0,0,0.0,0.009294812274939217,0.009094490422064816,1.0219948163865222,1.0363564591914733,1,1,0.039397219975795754,0.3350103739438415,1,1,0.05793199940823709,0.007822622326614317,0.007170864870285324,0.007643706108122388,0.007001585445073666,0.0006421206630487221,-0.008202135378365068,0.04023752984342132,0.9566591387788584,1.0495084208578285
circle,6,3000,1500,1500,0.06,paper-eb,0.0054672264172149045,0.3450032956295175,0.4153331768770209,0.06082339054564946,True,0,9,-6308.574358951572,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.014921914278572623,0.026378585338148394,0.024312480293144346,1,0.014921914278572623,0.026378585338148394,0.024312480293144346,0.0608667796336585,0.03724940497094599,47.0,32,0,0.0,0,0.0,0.009091559948249771,0.00895420390462277,1.0152297590481363,1.032548418976503,1,1,0.03592326800569709,0.3054699660348392,1,1,0.05362216383153879,0.010567026355749774,0.009812264547455938,0.010441174872800364,0.009728499224727705,0.0007126756480726613,0.019291975983077393,-0.013720088654960733,0.9751017921079633,1.0254330123504862
circle,7,3000,1500,1500,0.06,paper-eb,0.004581672696725597,0.6183476449185904,0.5560340119626633,0.06219447136345217,True,0,14,-6173.913977479975,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.009253693686500416,0.024529805523673547,0.023281536921102103,1,0.009253693686500416,0.024529805523673547,0.023281536921102103,0.05685747196106049,0.037867605870052896,46.0,33,0,0.0,0,0.0,0.009194061632291112,0.009081777228417088,1.0122726900909287,1.020359890072335,1,1,0.03593396057325503,0.3055608892283591,1,1,0.05407447034075848,0.00823617601744507,0.007536630412362053,0.008199198457902047,0.007499756528319576,0.0006994419295824737,-0.022337197358084822,0.02334981739945934,0.9633670696158502,1.0390440374074648
circle,8,3000,1500,1500,0.06,paper-eb,0.004708280169062253,0.24020548782120907,0.3465584278452979,0.06190995087651597,True,0,14,-6383.28098354857,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.013175568432503577,0.028634468530549836,0.02486656495340372,1,0.013175568432503577,0.028634468530549836,0.02486656495340372,0.05568126566256167,0.04377996834783985,49.0,30,0,0.0,0,0.0,0.009213241511284402,0.009027833507217,1.0204689061600136,1.0307892981353932,1,1,0.03815544594785979,0.32445107098520226,1,1,0.05406832784213723,0.007941988205464887,0.007473496956693589,0.008104730470986752,0.007626817355404317,0.0004779131155824339,0.024444222452871797,-0.013167860716226328,0.9593471414352449,1.0299356052753073
circle,9,3000,1500,1500,0.06,paper-eb,0.005073151464673584,0.22977959149807586,0.33895397290640794,0.061850634084721176,True,0,12,-6316.429550505589,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.01242234798118634,0.024841742071211332,0.020244852272383585,1,0.01242234798118634,0.024841742071211332,0.020244852272383585,0.057780132879757286,0.044806022370265014,48.0,30,0,0.0,0,0.0,0.009270989653298367,0.00907597859742015,1.0214062601023255,1.0592049307768017,1,1,0.03798461922393555,0.3229984627885676,1,1,0.05350857561985776,0.007009097135612443,0.00650136816974564,0.006954276343938434,0.006397480686592241,0.0005567956573461926,0.011293480432285157,0.009375239112761589,0.9825703847372469,1.0191954024901804
circle,10,3000,1500,1500,0.06,paper-eb,0.003857600022689132,0.3896181756283444,0.4413718248984321,0.06224921664503767,True,0,14,-6175.969675166515,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.00806317133972323,0.01886160143838755,0.01752063686936402,1,0.00806317133972323,0.01886160143838755,0.01752063686936402,0.0536252625363182,0.044533416200466476,45.0,27,0,0.0,0,0.0,0.009244896012789614,0.009095826903715453,1.016349056089743,1.0252979032622211,1,1,0.03971691608431134,0.3377288782679536,1,1,0.05638771754140482,0.005220866903251491,0.0051460440068483064,0.005259142001116933,0.005180359925233435,7.878207588349723e-05,0.020232668201013247,0.027769917736562504,0.966905406989715,1.0375778092377368
circle,11,3000,1500,1500,0.06,paper-eb,0.005280807745735872,0.19687772325678124,0.31374967988571817,0.06122120674209513,True,0,12,-6319.218043854727,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.01814669518619192,0.027402259031662074,0.022537322240347515,1,0.01814669518619192,0.027402259031662074,0.022537322240347515,0.05828226403418859,0.045800035396866105,47.0,32,0,0.0,0,0.0,0.009283717204834068,0.00905523608720586,1.0251570899163818,1.0413368205650024,1,1,0.03723521292361795,0.3166259602348465,1,1,0.056445786872542876,0.007435846598177958,0.0068659651827177575,0.006952049123800435,0.006496147751303804,0.00045590137249663053,-0.011860593745632687,0.0008620188199386648,0.9884087815612104,1.0278760834233538
