noise_sigma,raw_grmse_mean,raw_grmse_std,round1_grmse_mean,round1_grmse_std,round2_grmse_mean,round2_grmse_std,median_min_epsilon_neighbors,median_epsilon_neighbors
0.0,2.3562096984741743e-05,1.4030436979370452e-06,0.005702902705978068,0.0017917226207665759,0.0050197251010287505,0.0019048631722961304,2.5,11.0
0.01,0.0139313196640985,0.0006662837154154568,0.008167315651151093,0.0013552901214018921,0.007725077121806101,0.001497772134946385,2.0,10.75
0.02,0.027851226901122933,0.0013288506406468534,0.012609496555542082,0.0010220527940689279,0.012260279240376341,0.0010619959814569145,2.0,10.75
0.04,0.05565255456740427,0.0026413046820183777,0.024745304351346167,0.0019239950769601851,0.023729290364523696,0.0018715427678541725,3.0,10.75
0.06,0.0833962865299253,0.003938316458726278,0.044794464265102765,0.0045030352776246705,0.03958233397519368,0.004171570970888229,3.0,10.25
0.08,0.1110388686012265,0.005205199949544084,0.07190505638663909,0.006798615433975348,0.06217408911581253,0.0077720651276414286,2.5,10.0
0.12,0.16593962379238064,0.007631447553373315,0.12093546973356768,0.008960064595174462,0.1099376859737227,0.012783507750093931,2.0,9.0
