sample_size,raw_grmse_mean,raw_grmse_std,round1_grmse_mean,round1_grmse_std,round2_grmse_mean,round2_grmse_std,median_min_epsilon_neighbors,median_epsilon_neighbors
30,0.05444732570172236,0.0053714258532785945,0.04364755499966845,0.00706138788453053,0.043194806351184,0.00738720249752417,1.5,4.0
50,0.05525239394027461,0.004500708139220877,0.03641718168114613,0.006340454729946729,0.03538332208730321,0.005999792463073419,2.0,6.0
75,0.05527255400786243,0.0032878314330510882,0.030883869533473683,0.0049863689934565945,0.03047992657014024,0.006127236231546534,2.0,8.0
102,0.05563562806315951,0.0025904564020255015,0.026747357372787828,0.004109044966600188,0.02558422043175876,0.004159004843230622,3.0,10.75
150,0.05644216906238338,0.0025395141729880077,0.02145381257371371,0.0020480202805354566,0.020090318919236634,0.001894939088946844,4.0,14.0
250,0.0561381331750054,0.0018639273852606904,0.017852538946120624,0.0019274425271552855,0.016655569456589435,0.0014258003962834397,8.0,22.5
