repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
4,0.02,102,0.02998457348252351,0.011977192044001576,0.011703736100854838,4,9.5,9,25.0
4,0.04,102,0.05983812561736452,0.0228347129564793,0.022618934464643036,4,10.5,10,25.0
4,0.06,102,0.08955439848211284,0.045628096320486936,0.03925561029594863,3,11.0,9,23.5
4,0.08,102,0.11911991182201234,0.07617471963658891,0.0568095603895006,3,9.5,10,21.5
4,0.12,102,0.17749203952513337,0.12438652622247878,0.11512342563889483,2,7.0,8,24.0
5,0.0,102,2.362348119823143e-05,0.005082392073886868,0.004238092306965499,2,11.0,8,22.0
5,0.01,102,0.013958494154049674,0.008036098606504645,0.007564552820587727,2,10.5,8,22.0
5,0.02,102,0.02791624169893453,0.013254598268370143,0.012997797574389798,2,10.0,8,22.0
5,0.04,102,0.05583012753592495,0.025639933157904485,0.025509709356061488,3,10.0,9,21.5
5,0.06,102,0.08375172911855241,0.04227637598523919,0.042203264428064366,3,9.5,9,20.5
5,0.08,102,0.11170573568316561,0.07984557572103403,0.07462860962402662,3,9.5,8,20.0
5,0.12,102,0.167787231798571,0.14183257374484964,0.1412702764222284,1,8.0,7,18.5
6,0.0,102,2.5255148045027546e-05,0.00580581805538802,0.005442674956015725,2,12.5,6,25.0
6,0.01,102,0.014045863107094526,0.00739661134956344,0.007074695803301837,2,12.5,6,24.5
6,0.02,102,0.028081780663757737,0.01098943116195007,0.010740816263610576,2,13.0,6,25.0
6,0.04,102,0.05612767991654714,0.020867875462352848,0.019488466400469272,2,12.5,7,26.0
6,0.06,102,0.08413433942328885,0.04335856982436065,0.03750563848547863,2,11.0,8,26.0
6,0.08,102,0.11205347896738671,0.06762123079056241,0.05761034342794435,1,11.5,6,25.0
6,0.12,102,0.16713247045361007,0.11847585934266146,0.10197575249473106,1,11.0,8,26.5
7,0.0,102,2.2512414478720436e-05,0.004696672711425706,0.004073593520573516,3,11.0,8,23.0
7,0.01,102,0.01382174906356106,0.008604747592843716,0.0081475068563369,3,11.0,8,23.0
7,0.02,102,0.027639913196888636,0.014470863277924495,0.014200985501236196,3,11.0,7,23.0
7,0.04,102,0.055254619239485436,0.027426406856404784,0.026993496576763837,3,11.0,8,21.5
7,0.06,102,0.08281741068984189,0.04425695135098118,0.04150620867264473,3,10.5,8,22.0
7,0.08,102,0.11031439698085482,0.0676996802428594,0.0633103622105872,2,11.0,8,22.5
7,0.12,102,0.1650908401414623,0.11916269968148925,0.10620446923834485,3,9.0,7,20.0
8,0.0,102,2.3456295015623574e-05,0.005033571289300128,0.0045162255329443774,2,10.0,7,19.5
8,0.01,102,0.013518547115665802,0.01303231394439453,0.01310017832444971,3,10.0,8,19.0
8,0.02,102,0.027009451718213246,0.012107086741277386,0.010881680034607133,3,10.0,8,20.0
8,0.04,102,0.053880372999572095,0.024971827163743104,0.02513491910366004,4,10.0,9,20.5
8,0.06,102,0.08052734019799386,0.03880405442333237,0.03500237765658551,4,10.0,9,20.0
8,0.08,102,0.10688554964728567,0.06291569550214335,0.05061952346937452,3,9.0,9,20.0
8,0.12,102,0.1590349780274206,0.11452774176782198,0.09954719558520586,3,8.0,9,21.0
9,0.0,102,2.265018919135023e-05,0.0058182995657077895,0.004684456827654334,3,8.5,12,19.0
9,0.01,102,0.014656073096286092,0.007665521831995753,0.0070457713017707075,3,8.0,11,19.0
9,0.02,102,0.02930693894845003,0.012334115760408215,0.012067798939791161,3,9.0,11,19.0
9,0.04,102,0.05858878118958632,0.024838852148433465,0.024272088073553893,4,9.0,12,19.0
9,0.06,102,0.08783799163402657,0.04849784018538221,0.03780818051496283,3,9.0,11,18.0
9,0.08,102,0.11702875777637595,0.06976071944282179,0.05604967661741905,3,9.0,12,19.0
9,0.12,102,0.17516933092746062,0.1276518097578474,0.12168611118010832,3,9.0,11,18.0
10,0.0,102,2.6021974863866156e-05,0.004470843424802844,0.0036630823006212165,3,11.0,8,23.5
10,0.01,102,0.013781513982966252,0.007529178030527249,0.0070682005214203385,3,11.0,8,24.0
10,0.02,102,0.027545424468369616,0.012612552192726481,0.012400734340859339,3,11.0,8,23.5
10,0.04,102,0.054997950452144846,0.025370358328876543,0.024678758290297278,3,11.0,8,23.0
10,0.06,102,0.08231638965991454,0.04247880270680062,0.03858909548776922,2,10.5,9,23.0
10,0.08,102,0.10946699061355747,0.06924870479452339,0.0627322578426787,2,11.0,9,23.0
10,0.12,102,0.16284804875307518,0.11620043001146146,0.10284987955833558,2,10.0,9,21.0
11,0.0,102,2.3786359502681106e-05,0.004669165924650356,0.004014949569027276,3,11.0,9,18.5
11,0.01,102,0.013757711036748268,0.008139717204539007,0.007901964175055988,3,11.0,9,19.0
11,0.02,102,0.027494835149110396,0.014031153147693138,0.013891677393721604,4,11.0,9,19.0
11,0.04,102,0.05490900430172843,0.026382816214255585,0.025758523819149066,4,11.0,8,19.0
11,0.06,102,0.08226506276267373,0.045416431229961036,0.04180302314339888,4,11.0,8,19.0
11,0.08,102,0.10959192506463859,0.07424214551139402,0.06770241099670125,3,10.0,8,19.0
11,0.12,102,0.16414496765789732,0.12029094089980662,0.10962652119544736,3,9.0,8,19.0
12,0.0,102,2.313115345299988e-05,0.011938041076638622,0.011195849507089605,2,10.0,6,19.0
12,0.01,102,0.0140654946730363,0.008489615550454499,0.007970227127221216,2,10.0,6,19.0
12,0.02,102,0.028112162639351207,0.013098065224053325,0.012748840360789632,2,10.0,6,19.0
12,0.04,102,0.056139221511352325,0.023600899574328617,0.023189567039752567,2,10.0,7,19.0
12,0.06,102,0.08405590704468067,0.04348706716178431,0.03917328744796647,3,10.0,7,19.0
12,0.08,102,0.11184788302742527,0.06823740636444287,0.06393980197380567,3,9.0,8,18.0
12,0.12,102,0.16668181854457162,0.10920107383544432,0.0922204358595154,2,8.0,10,19.0
13,0.0,102,2.223365243482163e-05,0.004798786493195473,0.0040747409340899845,2,11.0,3,24.5
13,0.01,102,0.014879047935381733,0.007664024156357625,0.007077077911787314,2,11.0,3,25.0
