repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
6,0.04,50,0.05685051116649295,0.04220461827771651,0.03650161608089083,2,5.0,5,9.5
6,0.04,75,0.05551961360175725,0.031481395426941804,0.030511542666560264,2,8.0,5,16.0
6,0.04,102,0.055009022148518404,0.028577066124311643,0.02476107062178089,3,10.0,7,21.0
6,0.04,150,0.055353049785153235,0.024464722937274808,0.021459658011530682,7,14.0,14,29.0
6,0.04,250,0.05620682474903365,0.021764395334897196,0.01952751665441154,8,22.5,24,47.5
7,0.04,30,0.05906317932870438,0.04557691019670539,0.04525404028869801,2,4.0,2,7.0
7,0.04,50,0.05758623308720491,0.030912222927237904,0.030205618582773337,2,5.0,2,10.0
7,0.04,75,0.05459592230817591,0.0287240522903812,0.028458765558032076,2,8.0,5,15.0
7,0.04,102,0.05211945694247643,0.021575404907148602,0.020960595979235924,3,11.5,6,26.0
7,0.04,150,0.0559040865355974,0.02117215338899015,0.019899355650037774,4,13.5,10,35.5
7,0.04,250,0.05653901825219952,0.016836194020435905,0.015245388494271327,6,21.0,18,62.0
8,0.04,30,0.06304641545833055,0.047572304702384764,0.04710684127473926,2,4.0,2,7.0
8,0.04,50,0.06317935688027451,0.04222871704320475,0.04075417897039148,1,6.0,4,12.0
8,0.04,75,0.05803699921934002,0.030366588731262707,0.024692890869245393,2,8.0,6,17.0
8,0.04,102,0.058533814691724737,0.02559982548122678,0.02457197702555208,3,9.5,8,23.0
8,0.04,150,0.058748655831660196,0.020711176104483264,0.019397570465033633,4,13.5,11,36.0
8,0.04,250,0.0569092916663008,0.01662575692657385,0.01651573875587533,8,21.5,23,60.5
9,0.04,30,0.05913538190986021,0.05112633138061994,0.05115998812563933,2,4.0,3,7.0
9,0.04,50,0.0599014055202323,0.04461478445726325,0.04323186448202784,2,6.0,4,11.5
9,0.04,75,0.06093782723917856,0.03953802633505516,0.03965281182828581,2,9.0,5,17.0
9,0.04,102,0.06043940958893589,0.02945046848361097,0.028919715967895058,3,10.0,8,20.0
9,0.04,150,0.06115923156779927,0.022478696410742825,0.020551923948048997,4,15.0,13,30.0
9,0.04,250,0.05999297131267049,0.01735081938786425,0.015782839534914023,10,22.5,24,47.5
10,0.04,30,0.040991861186952805,0.0295934502368168,0.02937906082459379,1,5.0,1,7.0
10,0.04,50,0.04367737519324766,0.024416571502360217,0.024254533108262085,1,7.0,1,13.0
10,0.04,75,0.04686219709247674,0.02226322961392573,0.02221044356853543,2,9.0,3,20.0
10,0.04,102,0.049738954200481286,0.022186986035772044,0.02106318534432822,2,9.5,7,25.0
10,0.04,150,0.052288710665981335,0.018713323591705824,0.015507526082546278,4,14.0,9,32.0
10,0.04,250,0.05324545738146543,0.019161142341699404,0.015841974405793862,6,22.0,17,49.0
11,0.04,30,0.04967079038777037,0.03970733520360463,0.03931430727770855,1,5.0,1,8.0
11,0.04,50,0.051104706250152045,0.031095588974215417,0.03091964772419906,1,6.5,4,12.0
11,0.04,75,0.052338391378294574,0.02984341033362503,0.029422690233161516,3,9.0,5,17.0
11,0.04,102,0.053332135371395854,0.02472315554654396,0.024387332092422023,3,11.0,6,27.5
11,0.04,150,0.050783311937752325,0.0159068631862308,0.015548400668495166,5,17.0,11,40.0
11,0.04,250,0.05179883403844914,0.014376080910911838,0.014193180549925544,7,23.0,20,67.0
12,0.04,30,0.056628452225032044,0.04748407309197837,0.04711082864090705,1,4.0,3,6.0
12,0.04,50,0.05665583681517163,0.03994525468837038,0.03972560368609172,3,6.0,3,10.0
12,0.04,75,0.06008890363275577,0.03576015226306002,0.03513770292592553,2,7.0,6,15.0
12,0.04,102,0.056207459624035803,0.03062485626758245,0.027250252193515526,3,11.0,7,23.0
12,0.04,150,0.058957973486068925,0.026115455752148808,0.022255100146586507,3,14.0,11,38.0
12,0.04,250,0.058412730929048064,0.022236867346184266,0.01845688895649175,7,23.0,23,64.0
13,0.04,30,0.05333578042659502,0.04601101438215877,0.04590236385567788,1,4.0,3,9.0
13,0.04,50,0.05547543173380276,0.035943324023384515,0.035585639970841305,1,6.0,3,12.0
13,0.04,75,0.054952212821441214,0.02729733742385085,0.02690391048078497,2,7.0,6,15.0
13,0.04,102,0.055439654400687634,0.0234092120195237,0.022898900280012825,2,10.0,8,24.0
13,0.04,150,0.05554156093644779,0.02091111347419226,0.02015201094391881,5,14.0,15,29.5
