point_index,z_x,z_y,ball_count,F_hat_x,F_hat_y,v_hat_x,v_hat_y,u_hat_x,u_hat_y,direction_signal,cylinder_count,cylinder_axial_average,cylinder_average_x,cylinder_average_y,contracted_x,contracted_y,smoothing_count,final_x,final_y,pre_smoothing_se_sampling,pre_smoothing_noise_only_se,final_se_sampling,final_noise_only_se,final_se_direction
10,0.8180638780877064,-0.5716405995543824,157,0.8099171714954055,-0.5820999657768668,-0.008146706592300879,-0.010459366222484445,-0.6144877012009677,-0.7889264002888673,0.013257721149469359,245,0.009951175931041101,0.8072120983564285,-0.5758018125000097,0.8072120983564285,-0.5758018125000097,23,0.8121561803854231,-0.5753819224489163,0.010523834055252175,0.0038332593899996392,0.006477660014632611,0.005298419147030178,0.0018723665664427294
11,0.35100662838998353,-0.9559211164599535,142,0.3441483089650336,-0.94160121033266,-0.00685831942494991,0.014319906127293502,-0.43195102590615164,0.9018970624293124,0.015877539382068723,85,0.024031081880516614,0.34392745881452186,-0.932666547625524,0.34392745881452186,-0.932666547625524,24,0.3490945787693506,-0.9327878874818339,0.007286667590921219,0.006507913734559685,0.0071595408428571485,0.006166094462506608,0.0022642029875100775
12,-0.24786322272043615,0.8829823590264557,125,-0.26383626191641657,0.9401436954733211,-0.01597303919598042,0.057161336446865385,-0.2691278127429357,0.9631044701423638,0.05935112775295907,77,0.07621583237572827,-0.2741932422461804,0.9547603373812519,-0.2741932422461804,0.9547603373812519,25,-0.2756229042455419,0.9538403138048431,0.006549525875539103,0.006837634587578276,0.006102294917386374,0.006249054687818476,0.0018971184131464486
13,-0.6650098741246179,-0.7152819922585347,165,-0.6742963532594413,-0.7285129870358311,-0.009286479134823389,-0.01323099477729639,-0.5744908460519228,-0.8185110065249862,0.01616471210749992,92,0.02343935287147619,-0.6813483443018193,-0.7324510360516586,-0.6813483443018193,-0.7324510360516586,23,-0.6792828329706934,-0.7322596043075312,0.005338786941169727,0.006255432421712243,0.005359993135410789,0.005967142836640306,0.0018368662509227233
14,-0.9690234940063214,0.3549093356461093,157,-0.9485896609410279,0.33869211525566656,0.02043383306529345,-0.016217220390442766,0.7832909084845409,-0.6216553327089398,0.026087157202970057,96,0.03784270843922247,-0.9401343010117992,0.33043586069518976,-0.9401343010117992,0.33043586069518976,17,-0.9435127328622803,0.32864519224544464,0.006901178346595321,0.0061237243569579455,0.007385140377323307,0.005573879971845383,0.002374683210407859
15,-0.7836060544246026,0.6161658220806973,157,-0.7785160753946074,0.6126234144756106,0.005089979029995195,-0.003542407605086617,0.8207878135567889,-0.5712331967915258,0.006201333579671902,89,0.008511573404621114,-0.7777232287505548,0.6097183295281461,-0.7777232287505548,0.6097183295281461,18,-0.7795897751054331,0.6071272869815085,0.006211583563623029,0.00635998728003816,0.006349428435990291,0.005835271627718775,0.00273362478841715
16,-0.7477670990459745,0.6922436722074674,155,-0.7327038384092883,0.6762655102070944,0.015063260636686171,-0.015978162000373053,0.685967941651663,-0.7276317633433692,0.02195913208482759,83,0.028470072041531066,-0.72971509734562,0.6701349925113956,-0.72971509734562,0.6701349925113956,14,-0.731793428973923,0.6695890045851777,0.00644255943446386,0.00658585559938142,0.006880401414185962,0.005768338238635065,0.0026906776698440637
17,-0.5318096792583531,-0.9109811252138483,148,-0.5085861478876746,-0.8691277359411479,0.023223531370678452,0.041853389272700436,0.4851902396694529,0.8744086180553682,0.0478647950265859,88,0.051249576043827766,-0.5079621809188272,-0.8656030241868936,-0.5079621809188272,-0.8656030241868936,28,-0.5076541127437197,-0.8634508486356471,0.006171529356699226,0.006396021490668312,0.005912654663821324,0.005976985148739911,0.003111737780510887
18,0.4370622294586163,0.7975237733418203,137,0.45777652869411495,0.8566451786357852,0.020714299235498668,0.05912140529396481,0.3306605265578171,0.9437497635371928,0.062645213358652,83,0.0824296010610364,0.46356482891545897,0.8755807333704868,0.46356482891545897,0.8755807333704868,13,0.46562260043670195,0.8729773374376427,0.006370128125306089,0.00658585559938142,0.007004091888480759,0.0056977584510643445,0.0026147293526764194
19,-0.9306457922545639,0.2649803944611324,163,-0.9619739487674264,0.26834682915514796,-0.03132815651286247,0.003366434694015541,-0.9942760034852219,0.10684207454675844,0.03150851112070322,94,0.029745633668498306,-0.9607850712030181,0.26291072150471756,-0.9607850712030181,0.26291072150471756,30,-0.9646897205313021,0.2568401958122984,0.006355547165188181,0.00618852747755276,0.0061948650087788725,0.00601412923174246,0.0017157161098346652
20,-0.9844889153444042,0.2583664815696609,159,-0.9725154678095561,0.2544229645852285,0.01197344753484808,-0.003943516984432405,0.9498107505249689,-0.31282509200381514,0.012606140252919068,91,0.02074904974367552,-0.9644135254538152,0.2529921409314331,-0.9644135254538152,0.2529921409314331,38,-0.9662952575080123,0.2522887392348408,0.006495864100270726,0.00628970902033151,0.006157359554649877,0.005937028075923483,0.0014894680106655016
21,-0.5834512977751739,-0.9237408837711629,132,-0.5412429725540963,-0.8611056088079021,0.04220832522107765,0.06263527496326082,0.5588315779291788,0.8292811751807612,0.07552959941434581,89,0.09453395755376397,-0.5280689613030295,-0.8470665771829649,-0.5280689613030295,-0.8470665771829649,29,-0.526205946427221,-0.8469540968447331,0.00587537140549008,0.00635998728003816,0.005531671960179229,0.005984347025392304,0.0030495546111242522
22,-0.5413461065605246,-0.78427797593765,155,-0.5666896851200455,-0.8131852955080786,-0.025343578559520852,-0.02890731957042858,-0.6592361146378971,-0.7519359980457974,0.038443856452617865,86,0.04021090867379713,-0.5672790298161812,-0.815018609669256,-0.5672790298161812,-0.815018609669256,16,-0.5668332018393041,-0.8163298231503273,0.0059258231604311,0.0064699663922063045,0.005871147707683724,0.006201351176387565,0.001997241404295843
23,-0.20936025541445172,-0.9612102275744141,129,-0.21117128738766208,-0.9683075835523082,-0.0018110319732103641,-0.007097355977894071,-0.24724752384713528,-0.9689523527766782,0.007324772944258336,63,0.019139715033062922,-0.2164522820367027,-0.9791535546759278,-0.2164522820367027,-0.9791535546759278,10,-0.2204007865044419,-0.9780571937119451,0.007626501091864081,0.0075592894601845435,0.007538382655680026,0.007139458639955424,0.004085223663326121
24,0.4846249922559556,0.8630509686108235,162,0.4814654681723285,0.8650329833752759,-0.00315952408362713,0.0019820147644523667,-0.8471160020975439,0.5314080155495153,0.0037297419430205926,243,-0.005589227231371423,0.4862695240722179,0.8551547421876716,0.4862695240722179,0.8551547421876716,11,0.4817641892896201,0.8624691043263305,0.010550881506528621,0.003849001794597505,0.008338485235422233,0.005209527556151061,0.002710964512726665
25,-0.9192551862307324,0.36947422000671815,162,-0.926798674492123,0.3692035656191906,-0.0075434882613906185,-0.0002706543875275469,-0.9993569619807154,-0.0358561367226703,0.007548342132364296,92,0.0031243666871785787,-0.9229561520334378,0.3854887521424397,-0.9229561520334378,0.3854887521424397,13,-0.9267430204761761,0.3904995139465099,0.00717969077929051,0.006255432421712243,0.006505027332334902,0.005919625265228688,0.002332844969643666
26,0.42206014914573364,-0.9624827774116486,132,0.3976794447070898,-0.9242836821606107,-0.02438070443864382,0.03819909525103782,-0.5380088487673277,0.8429391903619471,0.04531654915063995,77,0.06773021272918998,0.38497918204168013,-0.90579977482656,0.38497918204168013,-0.90579977482656,22,0.3869603009437783,-0.9080026488605099,0.006876030742229961,0.006837634587578276,0.006586167737233448,0.006375167221306971,0.002463398082854071
27,0.7531317420683086,-0.6265607131981746,169,0.7665155764637944,-0.6349007895867312,0.01338383439548585,-0.008340076388556605,0.8487049239136804,-0.5288666676249072,0.015769714559647218,94,0.022341534012142946,0.7691015335339525,-0.6431771760976833,0.7691015335339525,-0.6431771760976833,27,0.7669996528881576,-0.6420693576315398,0.00650912677622238,0.00618852747755276,0.006129222629164444,0.005563892119555254,0.0019468542033784738
28,-0.9309160280484602,-0.40769203493882405,165,-0.9184396309492349,-0.39176683534296575,0.012476397099225323,0.015925199595858308,0.6167127462231122,0.7871882803027159,0.020230483601374527,106,0.02355032087897587,-0.9159652030607104,-0.38948805896376376,-0.9159652030607104,-0.38948805896376376,41,-0.9158751737185264,-0.38958869091648113,0.006436512255012956,0.005827715174143585,0.006363350615935307,0.0050900875113000345,0.0011893543634955853
29,-0.0038382495373370353,1.0496369047266714,133,0.000541742045100218,1.0123283518064228,0.0043799915824372536,-0.037308552920248594,0.11659836605353707,-0.9931791485092936,0.037564776683286845,85,0.044107601015854134,-0.002792143147730715,1.005349198137052,-0.002792143147730715,1.005349198137052,24,0.001339476069870003,1.0032236526233516,0.006378869635421213,0.006507913734559685,0.006880677284553233,0.005776947016179242,0.002121190270545154
30,-0.9514251268372763,0.3834627638196436,157,-0.9361135962780783,0.3685450418647772,0.015311530559197983,-0.014917721954866403,0.7162577683913105,-0.6978358039102751,0.021377123201870657,95,0.029152745372431555,-0.9345412477652663,0.3590164173711912,-0.9345412477652663,0.3590164173711912,15,-0.9355965739551305,0.35649455186466333,0.007204287096236902,0.006155870112510925,0.007421467197996451,0.00544731658032726,0.002502591021128115
31,1.0510615227321276,-0.05422212014744408,152,1.0006054098548631,-0.05384611732309395,-0.05045611287726448,0.0003760028243501301,-0.9999722344326836,0.007451869812742185,0.05045751385876215,81,0.05559956953996123,0.9954747670047208,-0.05229546137275826,0.9954747670047208,-0.05229546137275826,15,0.9915390718836314,-0.05505576780631034,0.005715968236325987,0.006666666666666666,0.006847612706110848,0.005870243861579404,0.0051355521810613715
32,0.08449076948108294,-1.0212294545970646,138,0.08452277891372809,-0.9920905463796436,3.2009432645141445e-05,0.029138908217421045,0.0010985110729948987,0.9999993966365291,0.02913892579878445,67,0.03904632469027517,0.08998467323217361,-0.9821891414653948,0.08998467323217361,-0.9821891414653948,12,0.08633542723692038,-0.9824550439080658,0.007199613724314525,0.007330166661378313,0.0069102039595690555,0.006993933510642308,0.0031510273635538596
33,-0.4654253773008995,0.843077460491508,148,-0.49001970507457004,0.8591878261672831,-0.024594327773670543,0.016110365675775062,-0.8365103857582274,0.5479510694565907,0.02940110271479513,86,0.03831188148595724,-0.5022789700279616,0.8567346441971396,-0.5022789700279616,0.8567346441971396,18,-0.4982174247423931,0.8558985326172915,0.006964363587273761,0.0064699663922063045,0.00830584962467688,0.004894691741601439,0.0017507339743870335
34,-0.9932464000853372,0.013763780277209876,135,-0.9936738357967777,0.02255114932678058,-0.00042743571144054915,0.008787369049570705,-0.048584614747472124,0.9988190703074504,0.008797758583910327,226,0.011476911363339861,-0.9884488280017316,0.02548762486814321,-0.9884488280017316,0.02548762486814321,26,-0.9926459314666519,0.024729147203651713,0.011381289320306548,0.003991140631426436,0.007845125291870262,0.005584342634577855,0.0018612813580583417
35,0.11155267132846529,-1.04888930944571,129,0.1088260560073408,-0.9966277342498832,-0.00272661532112449,0.05226157519582675,-0.05210160604378172,0.9986417889552082,0.052332653984471726,70,0.06787317160635001,0.11861255690480739,-0.9805554947204546,0.11861255690480739,-0.9805554947204546,15,0.11783323105619271,-0.9804417134513043,0.007635118293534224,0.007171371656006361,0.007014441319017172,0.006746178728747264,0.0032384399734041456
36,-0.9583196197145661,-0.1914409618848655,142,-0.9715339103492032,-0.2121523633344634,-0.013214290634637083,-0.020711401449597905,-0.5378690665893577,-0.8430283905102444,0.0245678575985588,110,0.026151782460125193,-0.9701648306206786,-0.21490471488436794,-0.9701648306206786,-0.21490471488436794,20,-0.9738593428670217,-0.215910817640823,0.009178842134307506,0.0057207755354735535,0.007896368655443612,0.005284156581257945,0.0023735898691101065
37,-0.7137396608044849,-0.7065920378770462,157,-0.7081140092192293,-0.6998181375736569,0.005625651585255631,0.006773900303389313,0.6388922641662337,0.7692962204434279,0.008805321179772322,91,0.008462525255194931,-0.7092949982294693,-0.6992829356485869,-0.7092949982294693,-0.6992829356485869,28,-0.7097152586010562,-0.6974328559229236,0.00597755511538549,0.00628970902033151,0.006027053566532941,0.005789974484875051,0.0017908509405729887
38,-0.6421699631508683,0.8504873973916688,141,-0.6080915450145512,0.8014868527455016,0.03407841813631707,-0.04900054464616721,0.5709638030087355,-0.8209752344948062,0.059685776850893796,91,0.06901818578710663,-0.5989697548785553,0.7964633188109429,-0.5989697548785553,0.7964633188109429,37,-0.594209894705147,0.7989431960354668,0.0048240080581875774,0.00628970902033151,0.006052319350243192,0.005690994469084748,0.0018683833441968775
39,-0.5153594652721978,-0.9020779381145567,151,-0.5016718355614836,-0.8703439459360672,0.013687629710714133,0.03173399217848949,0.3960534593424629,0.9182274540346026,0.0345600559415354,92,0.033211597523006245,-0.5022302496503446,-0.8715716336750221,-0.5022302496503446,-0.8715716336750221,34,-0.49971894979415243,-0.8700026701878566,0.006339173408556096,0.006255432421712243,0.0061235414424296785,0.0059785932262376214,0.001693240602971658
40,0.5607807771375773,0.7657713683798288,151,0.5863262560474711,0.7916621959252003,0.025545478909893782,0.02589082754537142,0.7023433634051024,0.7118383242568556,0.03637178087088934,90,0.049780090569440105,0.5951774669755517,0.8017652210083503,0.5951774669755517,0.8017652210083503,22,0.5941315756414353,0.8003057736364515,0.006478200798326926,0.006324555320336758,0.005656322125254652,0.0058488138240596265,0.0018446167811257497
41,0.6465700631389318,0.8754913359650585,121,0.6062453495839883,0.8125570761152776,-0.04032471355494349,-0.06293425984978085,-0.5394976899719971,-0.8419870797790656,0.07474492348064839,92,0.08935524474563268,0.6005099196173986,0.7988798234310267,0.6005099196173986,0.7988798234310267,27,0.5994130990056428,0.7972819425864162,0.006076600610799127,0.006255432421712243,0.005698161884889208,0.0058656043596673965,0.001777963284407726
42,0.0403312332098537,-1.069861987487608,113,0.03147937236284017,-1.0105452311054894,-0.008851860847013525,0.05931675638211864,-0.14759594954248337,0.9890477418601453,0.0599736027611357,70,0.08623107658811202,0.025799735549707416,-0.9848445683744077,0.025799735549707416,-0.9848445683744077,6,0.020581982923087373,-0.9869132023257854,0.006651010215889427,0.007171371656006361,0.0064822873710198734,0.006506303166416986,0.004594912771224808
43,0.072098336886876,1.0552720788243413,132,0.05764337176018629,1.011231703298967,-0.014454965126689714,-0.04404037552537421,-0.3118525496947866,-0.9501305106399124,0.04635192221720471,80,0.051489922914760844,0.052561980034307634,1.0074918426250377,0.052561980034307634,1.0074918426250377,10,0.047467320316726014,1.0051759142960321,0.007186640017310529,0.006708203932499369,0.007703474355602505,0.005980591242901576,0.0027618946239654093
