geometry,repeat,nominal_level,method,covered,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise,extra_radius_required,mean_empirical_sampling_variance,mean_noise_only_variance,mean_pre_smoothing_empirical_contraction_variance,mean_pre_smoothing_noise_only_variance
circle,0,0.8,sampling_only,1,0.02651835561862193,0.038594059793182846,0.44197259364369884,0.6432343298863807,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.8,sampling_plus_direction_additive,1,0.035776625978467695,0.06303615695216418,0.5962770996411283,1.050602615869403,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.8,sampling_plus_direction_rss,1,0.02825633238089042,0.04560804899420352,0.47093887301484033,0.7601341499033921,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.9,sampling_only,1,0.02759249498833152,0.04015733165124906,0.45987491647219203,0.669288860854151,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.9,sampling_plus_direction_additive,1,0.037225776258806395,0.06558946828380516,0.62042960431344,1.093157804730086,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.9,sampling_plus_direction_rss,1,0.02940086937595963,0.04745542602258594,0.4900144895993272,0.7909237670430991,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.95,sampling_only,1,0.028629943442643073,0.041667204595630586,0.4771657240440512,0.6944534099271764,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.95,sampling_plus_direction_additive,1,0.038625425839483245,0.06805556250685116,0.6437570973247208,1.134259375114186,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.95,sampling_plus_direction_rss,1,0.030506310783212,0.04923969955046545,0.5084385130535334,0.8206616591744241,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.99,sampling_only,1,0.03091552236717474,0.04499357109225719,0.515258706119579,0.7498928515376199,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.99,sampling_plus_direction_additive,1,0.04170896176845377,0.07348855819803814,0.6951493628075628,1.2248093033006358,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.99,sampling_plus_direction_rss,1,0.03294168342483135,0.05317059168681491,0.5490280570805225,0.8861765281135818,1,0.0,4.469471859485691e-05,3.402874677300656e-05,5.06258425327223e-05,3.9771913547231944e-05
circle,0,0.8,full_algorithm_bootstrap,1,0.029609109525958716,0.029609109525958716,0.4934851587659786,0.4934851587659786,1,0.0,,,,
circle,0,0.9,full_algorithm_bootstrap,1,0.03213013521384315,0.03213013521384315,0.5355022535640525,0.5355022535640525,1,0.0,,,,
circle,0,0.95,full_algorithm_bootstrap,1,0.034443851869507554,0.034443851869507554,0.574064197825126,0.574064197825126,1,0.0,,,,
circle,0,0.99,full_algorithm_bootstrap,1,0.042004236193007784,0.042004236193007784,0.7000706032167964,0.7000706032167964,1,0.0,,,,
circle,1,0.8,sampling_only,1,0.027034683649427693,0.03714537409984284,0.45057806082379487,0.6190895683307139,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.8,sampling_plus_direction_additive,1,0.036351244055705126,0.07421890061618809,0.6058540675950854,1.2369816769364683,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.8,sampling_plus_direction_rss,1,0.0287526180882052,0.053557644243958744,0.4792103014700867,0.8926274040659791,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.9,sampling_only,1,0.02812973714645156,0.03864996621320954,0.46882895244085937,0.6441661035534924,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.9,sampling_plus_direction_additive,1,0.03782366953108925,0.07722517462031331,0.6303944921848209,1.2870862436718886,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.9,sampling_plus_direction_rss,1,0.029917257386166705,0.05572702363756407,0.49862095643611176,0.9287837272927345,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.95,sampling_only,1,0.02918738533430545,0.04010316382089397,0.4864564222384242,0.6683860636815662,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.95,sampling_plus_direction_additive,1,0.03924579926267074,0.08012875902171174,0.6540966543778457,1.335479317028529,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.95,sampling_plus_direction_rss,1,0.031042114433187815,0.05782230043513612,0.5173685738864636,0.9637050072522687,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.99,sampling_only,1,0.03151746582908252,0.043304670181523175,0.5252910971513753,0.7217445030253863,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.99,sampling_plus_direction_additive,1,0.04237886069713929,0.0865255793031001,0.7063143449523215,1.4420929883850018,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.99,sampling_plus_direction_rss,1,0.03352026122602146,0.06243835675069428,0.558671020433691,1.040639279178238,1,0.0,4.649360512700025e-05,3.388510594285666e-05,5.3999932802714895e-05,3.9694298931938525e-05
circle,1,0.8,full_algorithm_bootstrap,1,0.03190020204898506,0.03190020204898506,0.531670034149751,0.531670034149751,1,0.0,,,,
circle,1,0.9,full_algorithm_bootstrap,1,0.03470091579493596,0.03470091579493596,0.5783485965822661,0.5783485965822661,1,0.0,,,,
circle,1,0.95,full_algorithm_bootstrap,1,0.03682183008593105,0.03682183008593105,0.6136971680988508,0.6136971680988508,1,0.0,,,,
circle,1,0.99,full_algorithm_bootstrap,1,0.04090820634645685,0.04090820634645685,0.6818034391076142,0.6818034391076142,1,0.0,,,,
