point_index,z_x,z_y,ball_count,F_hat_x,F_hat_y,v_hat_x,v_hat_y,u_hat_x,u_hat_y,direction_signal,cylinder_count,cylinder_axial_average,cylinder_average_x,cylinder_average_y,contracted_x,contracted_y,smoothing_count,final_x,final_y,pre_smoothing_se_sampling,pre_smoothing_noise_only_se,final_se_sampling,final_noise_only_se,final_se_direction
0,-0.8977330639872217,-0.6091482157044715,136,-0.90271792329382,-0.6098985797701099,-0.004984859306598199,-0.0007503640656383315,-0.9888595343444849,-0.1488516756237838,0.005041018601193609,130,-0.013175351503752817,-0.8843166357547396,-0.6097636704543203,-0.8843166357547396,-0.6097636704543203,10,-0.8888637987668659,-0.6209425770923998,0.01099064013736442,0.005262348115842175,0.008534403071399445,0.005939136016091868,0.0034780399341257768
1,0.6553725193641765,-0.6569642289124699,138,0.6546012133072311,-0.700140355984923,-0.00077130605694542,-0.04317612707245311,-0.017861329064530616,-0.9998404737377101,0.04318301589757365,91,0.05323288899308077,0.6501442725255692,-0.7101122129675802,0.6501442725255692,-0.7101122129675802,29,0.6488794612060803,-0.7063096882915704,0.006347829861599959,0.00628970902033151,0.007497316952381892,0.0050977367640654934,0.0015698466592946891
2,0.9898165293098085,-0.6195627774217997,113,0.9698981502561694,-0.5810797870015898,-0.019918379053639024,0.03848299042020986,-0.4596665782464845,0.8880915700777531,0.043332232527374004,62,0.05453102167752885,0.9699651263859506,-0.5684351721702924,0.9699651263859506,-0.5684351721702924,23,0.9752862211882413,-0.5686460238968529,0.007660452020945168,0.00762000762001143,0.0075734290585446245,0.006885803807631208,0.0024472905929640736
3,1.3998899628812158,0.03724953874724186,139,1.3942573569248555,0.023242756320927684,-0.0056326059563602815,-0.014006782426314174,-0.373097010140832,-0.9277923372306821,0.015096893846011136,161,0.0411290782385613,1.384692779084419,-0.000969201566194765,1.384692779084419,-0.000969201566194765,31,1.388906618972585,-0.00416917257942747,0.010547436684429716,0.004728662437434604,0.006216723266595116,0.0057209878728493695,0.0016555411401606814
4,-0.008640812680830064,-0.7958338249954519,147,-0.007209541986986074,-0.801641719271012,0.0014312706938439893,-0.005807894275560166,0.23927678716738426,-0.9709513989499445,0.00598165292499834,80,0.007099789493049853,-0.010756252393511218,-0.8036673428411156,-0.010756252393511218,-0.8036673428411156,14,-0.010232981135624914,-0.8005885835290741,0.006595147402923618,0.006708203932499369,0.0072747084416862695,0.0059876992594421665,0.0028786088254692302
5,0.7565724082297591,-0.7030382500395426,134,0.7375591524256343,-0.6827033621729371,-0.01901325580412483,0.020334887866605422,-0.6829712162565021,0.7304452873180264,0.02783902945184158,82,0.03757746945884058,0.724457534663626,-0.6816212658094233,0.724457534663626,-0.6816212658094233,14,0.7233371574621746,-0.6827949896568936,0.006900836427861282,0.006625891564490792,0.008195850794914646,0.005721088441286641,0.002502161725642998
6,0.5304623444100073,-0.6928064141770671,157,0.5365925311404991,-0.72971028195163,0.006130186730491816,-0.03690386777456289,0.16386688051280207,-0.9864824608025239,0.03740955287186843,93,0.05216934485138458,0.5438984964642891,-0.7434587131419205,0.5438984964642891,-0.7434587131419205,17,0.5472823412593637,-0.7384670336129745,0.006143530241909436,0.006221710168382551,0.006630907952716407,0.005533350458425741,0.006749601371307231
7,0.713250923450926,0.5589991572597318,88,0.7477823012426554,0.6436388717994926,0.034531377791729434,0.08463971453976082,0.37775216728162253,0.9259067448258692,0.091412785372547,70,0.12754765293519282,0.7693655187295771,0.6738597990542269,0.7693655187295771,0.6738597990542269,19,0.7683878644919573,0.6707779932981829,0.006921588471499834,0.007171371656006361,0.007756388644482644,0.00621556096891782,0.002460912604060313
8,-1.3373998124797313,-0.3705119608128069,114,-1.2778533282433853,-0.3286424858084183,0.05954648423634601,0.04186947500438859,0.8180236430475083,0.5751845959474947,0.07279310902861977,82,0.09108344791941164,-1.2640526271122021,-0.3164706732734895,-1.2640526271122021,-0.3164706732734895,28,-1.2664220171046705,-0.31332634729426634,0.00602852651961242,0.006625891564490792,0.00685873485981564,0.005843433047838901,0.0016940892946030934
9,0.538470376367682,0.6895682037721438,129,0.5399272915500515,0.7322672604007773,0.001456915182369456,0.04269905662863349,0.034100702878201494,0.9994184019034333,0.04272390477032581,82,0.058469864314846194,0.5351081139016222,0.7481868160736818,0.5351081139016222,0.7481868160736818,25,0.5380121132548343,0.745131435660817,0.007148138265083375,0.006625891564490792,0.006916634089308802,0.005748418300075088,0.002024494762789745
10,1.147002660616048,-0.5467668266020321,113,1.116503803861196,-0.4972793200476534,-0.030498856754851866,0.049487506554378724,-0.5246588768715411,0.8513125530143985,0.05813083147799153,71,0.07372411174426391,1.1072427020065874,-0.4846701309423929,1.1072427020065874,-0.4846701309423929,17,1.1084199397699728,-0.48291201106639875,0.0067178087570493724,0.007120689949163119,0.0064373709135547895,0.006829112348234447,0.0026411155916192344
11,1.1452433604203767,-0.5077271700849768,124,1.1341414122736384,-0.4748602322433473,-0.01110194814673826,0.03286693784162953,-0.32002076424810566,0.9474105289947217,0.03469133689753689,75,0.04628079180907412,1.1340186223464255,-0.46266893899537764,1.1340186223464255,-0.46266893899537764,16,1.1324345045385404,-0.46339722783053267,0.006750236710052919,0.006928203230275508,0.006808546749219783,0.006329238884340071,0.002416783108695251
