geometry,nominal_level,estimated_hausdorff,oracle_hausdorff,estimated_sampling_coverage,oracle_sampling_coverage,mean_analytic_direction_se,estimated_bootstrap_radius,oracle_bootstrap_radius,mc_replicates,bootstrap_datasets
circle,0.95,0.022937796679799994,0.023086270862922732,0.95,0.96,0.0023863924227498705,0.0356328409777193,0.03183275263119194,100,2
ellipse,0.95,0.025654727598917747,0.02493022534682673,0.95,0.95,0.002652257285303021,0.04585939282762698,0.037509984907361224,100,2
