geometry,repeat,nominal_level,method,covered,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise,extra_radius_required,bootstrap_mean_deviation,bootstrap_max_deviation,oracle_radius,oracle_mean_deviation
circle,0,0.8,full_algorithm_bootstrap,1,0.029609109525958716,0.029609109525958716,0.4934851587659786,0.4934851587659786,1,0.0,0.027205744622676224,0.04216340908285394,0.027983984986399413,0.02574714395279382
circle,0,0.9,full_algorithm_bootstrap,1,0.03213013521384315,0.03213013521384315,0.5355022535640525,0.5355022535640525,1,0.0,0.027205744622676224,0.04216340908285394,0.029821159929353986,0.02574714395279382
circle,0,0.95,full_algorithm_bootstrap,1,0.034443851869507554,0.034443851869507554,0.574064197825126,0.574064197825126,1,0.0,0.027205744622676224,0.04216340908285394,0.031510834587783414,0.02574714395279382
circle,0,0.99,full_algorithm_bootstrap,1,0.042004236193007784,0.042004236193007784,0.7000706032167964,0.7000706032167964,1,0.0,0.027205744622676224,0.04216340908285394,0.03563148495774237,0.02574714395279382
circle,1,0.8,full_algorithm_bootstrap,1,0.03190020204898506,0.03190020204898506,0.531670034149751,0.531670034149751,1,0.0,0.028865188534124626,0.05397077724429078,0.029629782397034926,0.027321380139692986
circle,1,0.9,full_algorithm_bootstrap,1,0.03470091579493596,0.03470091579493596,0.5783485965822661,0.5783485965822661,1,0.0,0.028865188534124626,0.05397077724429078,0.03131827311774606,0.027321380139692986
circle,1,0.95,full_algorithm_bootstrap,1,0.03682183008593105,0.03682183008593105,0.6136971680988508,0.6136971680988508,1,0.0,0.028865188534124626,0.05397077724429078,0.03215467067460046,0.027321380139692986
circle,1,0.99,full_algorithm_bootstrap,1,0.04090820634645685,0.04090820634645685,0.6818034391076142,0.6818034391076142,1,0.0,0.028865188534124626,0.05397077724429078,0.0479803701056409,0.027321380139692986
ellipse,0,0.8,full_algorithm_bootstrap,1,0.038404375456173576,0.038404375456173576,0.6400729242695596,0.6400729242695596,1,0.0,0.03367173853841257,0.057482781979130156,0.03320901037098782,0.030291703236630177
ellipse,0,0.9,full_algorithm_bootstrap,1,0.04293813581769675,0.04293813581769675,0.7156355969616126,0.7156355969616126,1,0.0,0.03367173853841257,0.057482781979130156,0.036755897543374855,0.030291703236630177
ellipse,0,0.95,full_algorithm_bootstrap,1,0.04817218779139624,0.04817218779139624,0.8028697965232706,0.8028697965232706,1,0.0,0.03367173853841257,0.057482781979130156,0.03930303865870158,0.030291703236630177
ellipse,0,0.99,full_algorithm_bootstrap,1,0.05679154138610395,0.05679154138610395,0.9465256897683991,0.9465256897683991,1,0.0,0.03367173853841257,0.057482781979130156,0.04869675936030194,0.030291703236630177
ellipse,1,0.8,full_algorithm_bootstrap,1,0.036603685830090896,0.036603685830090896,0.610061430501515,0.610061430501515,1,0.0,0.03275059049380722,0.05458258424807599,0.032291542461145746,0.028922701503428964
ellipse,1,0.9,full_algorithm_bootstrap,1,0.041463948554638565,0.041463948554638565,0.6910658092439761,0.6910658092439761,1,0.0,0.03275059049380722,0.05458258424807599,0.033642209551791466,0.028922701503428964
ellipse,1,0.95,full_algorithm_bootstrap,1,0.043546597863857714,0.043546597863857714,0.7257766310642952,0.7257766310642952,1,0.0,0.03275059049380722,0.05458258424807599,0.03571693115602088,0.028922701503428964
ellipse,1,0.99,full_algorithm_bootstrap,1,0.052354768833124427,0.052354768833124427,0.8725794805520738,0.8725794805520738,1,0.0,0.03275059049380722,0.05458258424807599,0.040592788041082094,0.028922701503428964
